DEPARTAMENTO;MUNICIPIO;POBLADO
ALTA VERAPAZ;Chisec;Xuctul Ruta A Raxruha, Chisec 
ALTA VERAPAZ;Chisec;Yalpemech
ALTA VERAPAZ;Coban;Agencia Caex Coban
ALTA VERAPAZ;Coban;Canguinic, Ruta a Playa Grande 
ALTA VERAPAZ;Coban;Cerro Lindo
ALTA VERAPAZ;Coban;Chichaic
ALTA VERAPAZ;Coban;Chicoj
ALTA VERAPAZ;Coban;Chicuxab
ALTA VERAPAZ;Coban;Chinaichab
ALTA VERAPAZ;Coban;Chincijay Ruta A Chisec
ALTA VERAPAZ;Coban;Chirretzaaj
ALTA VERAPAZ;Coban;Coban
ALTA VERAPAZ;Coban;Corozal, Ruta a Playa Grande 
ALTA VERAPAZ;Coban;Cubil
ALTA VERAPAZ;Coban;Cubilguitz
ALTA VERAPAZ;Coban;El Rosario
ALTA VERAPAZ;Coban;Las Pacayas
ALTA VERAPAZ;Coban;Pequixul
ALTA VERAPAZ;Coban;Salacuin
ALTA VERAPAZ;Coban;Samac
ALTA VERAPAZ;Coban;San Antonio Las Flores
ALTA VERAPAZ;Coban;Saolon Ruta A Playa Grande
ALTA VERAPAZ;Coban;Sibicte
ALTA VERAPAZ;Coban;Siguana
ALTA VERAPAZ;Coban;Sonte
ALTA VERAPAZ;Coban;Tanchi
ALTA VERAPAZ;Coban;Tomten
ALTA VERAPAZ;Coban;Ucula
ALTA VERAPAZ;Coban;Zona 1
ALTA VERAPAZ;Coban;Zona 10
ALTA VERAPAZ;Coban;Zona 11
ALTA VERAPAZ;Coban;Zona 12
ALTA VERAPAZ;Coban;Zona 2
ALTA VERAPAZ;Coban;Zona 3
ALTA VERAPAZ;Coban;Zona 4
ALTA VERAPAZ;Coban;Zona 5, Cobán 
ALTA VERAPAZ;Coban;Zona 6
ALTA VERAPAZ;Coban;Zona 7
ALTA VERAPAZ;Coban;Zona 8
ALTA VERAPAZ;Coban;Zona 9
ALTA VERAPAZ;Fray Bartolome De Las Casas;Aldea Centro Champeguano
ALTA VERAPAZ;Fray Bartolome De Las Casas;Aldea China Cobeja
ALTA VERAPAZ;Fray Bartolome De Las Casas;Aldea Nuevo Secapur
ALTA VERAPAZ;Fray Bartolome De Las Casas;Bolonco
ALTA VERAPAZ;Fray Bartolome De Las Casas;Caserio Chimenja
ALTA VERAPAZ;Fray Bartolome De Las Casas;Fray Bartolome De Las Casas
ALTA VERAPAZ;Fray Bartolome De Las Casas;Yalitzul
ALTA VERAPAZ;Lanquin;Lanquin
ALTA VERAPAZ;Panzos;Agua Caliente
ALTA VERAPAZ;Panzos;Panzos
ALTA VERAPAZ;Panzos;Soledad
ALTA VERAPAZ;Panzos;Teleman
ALTA VERAPAZ;Panzos;Xucub
ALTA VERAPAZ;Raxruha;28 De Septiembre
ALTA VERAPAZ;Raxruha;Ald. San Antonio Las Flores
ALTA VERAPAZ;Raxruha;El Ranchon
ALTA VERAPAZ;Raxruha;Lachua
ALTA VERAPAZ;Raxruha;Zona Urbana
ALTA VERAPAZ;San Cristobal Verapaz;Chiyuc
ALTA VERAPAZ;San Cristobal Verapaz;Nisnic
ALTA VERAPAZ;San Cristobal Verapaz;Paniste
ALTA VERAPAZ;San Cristobal Verapaz;San Cristobal
ALTA VERAPAZ;San Cristobal Verapaz;San Cristobal Verapaz
ALTA VERAPAZ;San Juan Chamelco;Chiu
ALTA VERAPAZ;San Juan Chamelco;Cruce Pocola
ALTA VERAPAZ;San Juan Chamelco;Cuevas Del Rey Marcos
ALTA VERAPAZ;San Juan Chamelco;San Juan Chamelco
ALTA VERAPAZ;San Juan Chamelco;San Luis
ALTA VERAPAZ;San Juan Chamelco;San Marcos
ALTA VERAPAZ;San Juan Chamelco;Santa Cecilia
ALTA VERAPAZ;San Juan Chamelco;Sesijche
ALTA VERAPAZ;San Pedro Carcha;Aldea Chelac
ALTA VERAPAZ;San Pedro Carcha;Aldea China Coyou
ALTA VERAPAZ;San Pedro Carcha;Aldea Chiqueleu
ALTA VERAPAZ;San Pedro Carcha;Aldea El Pajal
ALTA VERAPAZ;San Pedro Carcha;Bancav
ALTA VERAPAZ;San Pedro Carcha;Cabañas
ALTA VERAPAZ;San Pedro Carcha;Campur
ALTA VERAPAZ;San Pedro Carcha;Chaipec
ALTA VERAPAZ;San Pedro Carcha;Chanquej
ALTA VERAPAZ;San Pedro Carcha;Chicojl
ALTA VERAPAZ;San Pedro Carcha;Chirrequiche
ALTA VERAPAZ;San Pedro Carcha;Cojaj
ALTA VERAPAZ;San Pedro Carcha;Cruce Chamtaca
ALTA VERAPAZ;San Pedro Carcha;Muyha
ALTA VERAPAZ;San Pedro Carcha;San Antonio Las Cuevas
ALTA VERAPAZ;San Pedro Carcha;San Pedro Carcha
ALTA VERAPAZ;San Pedro Carcha;Tzunut
ALTA VERAPAZ;San Pedro Carcha;Zacanilla
ALTA VERAPAZ;Santa Catalina La Tinta;Campur
ALTA VERAPAZ;Santa Catalina La Tinta;La Tinta
ALTA VERAPAZ;Santa Catalina La Tinta;Matucuy
ALTA VERAPAZ;Santa Catalina La Tinta;Sacxuja
ALTA VERAPAZ;Santa Catalina La Tinta;Salac
ALTA VERAPAZ;Santa Catalina La Tinta;Santa Catalina La Tinta
ALTA VERAPAZ;Santa Catalina La Tinta;Xicuc
ALTA VERAPAZ;Santa Cruz Verapaz;Chijaxau
ALTA VERAPAZ;Santa Cruz Verapaz;Chijou
ALTA VERAPAZ;Santa Cruz Verapaz;Chitul
ALTA VERAPAZ;Santa Cruz Verapaz;Las Cuevas
ALTA VERAPAZ;Santa Cruz Verapaz;Las Islas
ALTA VERAPAZ;Santa Cruz Verapaz;Le Peña Del Gallo
ALTA VERAPAZ;Santa Cruz Verapaz;Pueblo Viejo Ruta A Coban
ALTA VERAPAZ;Santa Cruz Verapaz;San Jose
ALTA VERAPAZ;Santa Cruz Verapaz;Santa Cruz Verapaz
ALTA VERAPAZ;Santa Cruz Verapaz;Valparaiso
ALTA VERAPAZ;Santa Maria Cahabon;Raxhujá
ALTA VERAPAZ;Senahu;Palin
ALTA VERAPAZ;Senahu;San Nicolas
ALTA VERAPAZ;Senahu;Seamay
ALTA VERAPAZ;Senahu;Senahu
ALTA VERAPAZ;Tactic;Chiacal
ALTA VERAPAZ;Tactic;Chiixim
ALTA VERAPAZ;Tactic;Panmisti
ALTA VERAPAZ;Tactic;Pansinic
ALTA VERAPAZ;Tactic;Pasmolon Ruta A Coban
ALTA VERAPAZ;Tactic;San Julian Cruce Para El Polochic
ALTA VERAPAZ;Tactic;Tactic
ALTA VERAPAZ;Tactic;Tampo
ALTA VERAPAZ;Tactic;Tampur
ALTA VERAPAZ;Tamahu;Agroxintun
ALTA VERAPAZ;Tamahu;Chimolon
ALTA VERAPAZ;Tamahu;Chiquixguashcux
ALTA VERAPAZ;Tamahu;Chulumja
ALTA VERAPAZ;Tamahu;Cruce San Julian
ALTA VERAPAZ;Tamahu;Jolomche
ALTA VERAPAZ;Tamahu;Pantic
ALTA VERAPAZ;Tamahu;Santa Teresa
ALTA VERAPAZ;Tamahu;Tamahu
ALTA VERAPAZ;Tamahu;Yushilja
ALTA VERAPAZ;Teleman;(Sin poblados listados)
ALTA VERAPAZ;Tucuru;Aldea Nuevo Chixtun
ALTA VERAPAZ;Tucuru;Canaan
ALTA VERAPAZ;Tucuru;Chibich Ruta Del Polochic
ALTA VERAPAZ;Tucuru;Chicoban
ALTA VERAPAZ;Tucuru;Comunidad San Carlos
ALTA VERAPAZ;Tucuru;Comunidad San Green
ALTA VERAPAZ;Tucuru;Pancajche
ALTA VERAPAZ;Tucuru;Papalja
ALTA VERAPAZ;Tucuru;Raxquix
ALTA VERAPAZ;Tucuru;Tucuru
ALTA VERAPAZ;Tucuru;Waxpon
BAJA VERAPAZ;Cubulco;Cubulco
BAJA VERAPAZ;GRANADOS;Aldea Los Pozos
BAJA VERAPAZ;GRANADOS;El Guapinol Granados
BAJA VERAPAZ;GRANADOS;El Sacramento Granados
BAJA VERAPAZ;GRANADOS;El Zapote
BAJA VERAPAZ;GRANADOS;Granados
BAJA VERAPAZ;GRANADOS;La Canoa
BAJA VERAPAZ;GRANADOS;Las Animas
BAJA VERAPAZ;GRANADOS;Las Dandas
BAJA VERAPAZ;GRANADOS;Las Marias
BAJA VERAPAZ;GRANADOS;Llano Grande
BAJA VERAPAZ;GRANADOS;Los Cerritos Saltan
BAJA VERAPAZ;GRANADOS;Los Dantas Granados
BAJA VERAPAZ;GRANADOS;Los Paxtes
BAJA VERAPAZ;GRANADOS;Los Planes
BAJA VERAPAZ;GRANADOS;Oratorio Baja Verapaz
BAJA VERAPAZ;GRANADOS;Potrero Grande Granados
BAJA VERAPAZ;GRANADOS;Saltan
BAJA VERAPAZ;GRANADOS;San Vicente Baja Verapaz
BAJA VERAPAZ;GRANADOS;San Vicente Granados
BAJA VERAPAZ;GRANADOS;Zuasite
BAJA VERAPAZ;PURULHA;Chicoy
BAJA VERAPAZ;PURULHA;El Comunal
BAJA VERAPAZ;PURULHA;El Durazno
BAJA VERAPAZ;PURULHA;Los Encuentros
BAJA VERAPAZ;PURULHA;Papal
BAJA VERAPAZ;PURULHA;Purulha
BAJA VERAPAZ;PURULHA;Rincon Del Quetzal
BAJA VERAPAZ;RABINAL;Chiticoy
BAJA VERAPAZ;RABINAL;Chuaperol
BAJA VERAPAZ;RABINAL;Pichec
BAJA VERAPAZ;RABINAL;Rabinal
BAJA VERAPAZ;RABINAL;Sutun Rabinal
BAJA VERAPAZ;RABINAL;Xolocoy Rabinal
BAJA VERAPAZ;SALAMA;Agencia Caex Salama
BAJA VERAPAZ;SALAMA;Cachil
BAJA VERAPAZ;SALAMA;Caserio Las Palmas
BAJA VERAPAZ;SALAMA;El Tempisque
BAJA VERAPAZ;SALAMA;El Tunal
BAJA VERAPAZ;SALAMA;La Paz I
BAJA VERAPAZ;SALAMA;La Paz Ii
BAJA VERAPAZ;SALAMA;Las Anonas
BAJA VERAPAZ;SALAMA;Las Tunas
BAJA VERAPAZ;SALAMA;Los Limones
BAJA VERAPAZ;SALAMA;Paso Ancho
BAJA VERAPAZ;SALAMA;Payaque
BAJA VERAPAZ;SALAMA;Salama
BAJA VERAPAZ;SALAMA;San Ignacio
BAJA VERAPAZ;SALAMA;San Juan
BAJA VERAPAZ;SALAMA;San Juan I
BAJA VERAPAZ;SALAMA;San Juan Ii
BAJA VERAPAZ;SALAMA;Santa Marta
BAJA VERAPAZ;SAN JERONIMO;Cañas Viejas
BAJA VERAPAZ;SAN JERONIMO;Chilasco
BAJA VERAPAZ;SAN JERONIMO;Cumbre Santa Elena
BAJA VERAPAZ;SAN JERONIMO;El Astillero
BAJA VERAPAZ;SAN JERONIMO;El Cacao
BAJA VERAPAZ;SAN JERONIMO;El Durazno
BAJA VERAPAZ;SAN JERONIMO;El Monjon
BAJA VERAPAZ;SAN JERONIMO;La Union Barrios
BAJA VERAPAZ;SAN JERONIMO;Las Limas
BAJA VERAPAZ;SAN JERONIMO;Los Jocotes
BAJA VERAPAZ;SAN JERONIMO;Los Ramones
BAJA VERAPAZ;SAN JERONIMO;Matanzas
BAJA VERAPAZ;SAN JERONIMO;Niño Perdido
BAJA VERAPAZ;SAN JERONIMO;San Jeronimo
BAJA VERAPAZ;SAN JERONIMO;Santa Barbara
BAJA VERAPAZ;SAN JERONIMO;Santa Catarina
BAJA VERAPAZ;SAN JERONIMO;Sibabaj
BAJA VERAPAZ;SAN MIGUEL CHICAJ;Aldea Chilajom
BAJA VERAPAZ;SAN MIGUEL CHICAJ;Aldea Xixoloc
BAJA VERAPAZ;SAN MIGUEL CHICAJ;El Progreso I San Gabriel
BAJA VERAPAZ;SAN MIGUEL CHICAJ;El Progreso Ii San Gabriel
BAJA VERAPAZ;SAN MIGUEL CHICAJ;Rincon De Jesus
BAJA VERAPAZ;SAN MIGUEL CHICAJ;San Francisco
BAJA VERAPAZ;SAN MIGUEL CHICAJ;San Gabriel Pansuj
BAJA VERAPAZ;SAN MIGUEL CHICAJ;San Miguel Chicaj
BAJA VERAPAZ;SANTA CRUZ EL CHOL;Chiquirines
BAJA VERAPAZ;SANTA CRUZ EL CHOL;El Chol
BAJA VERAPAZ;SANTA CRUZ EL CHOL;El Platanal
BAJA VERAPAZ;SANTA CRUZ EL CHOL;Las Margaritas
BAJA VERAPAZ;SANTA CRUZ EL CHOL;Los Jobos
BAJA VERAPAZ;SANTA CRUZ EL CHOL;Los Lochuyes
BAJA VERAPAZ;SANTA CRUZ EL CHOL;Pueblo Nuevo
BAJA VERAPAZ;SANTA CRUZ EL CHOL;Santa Cruz El Chol
BAJA VERAPAZ;SANTA CRUZ EL CHOL;Trapiche Viejo
CHIMALTENANGO;ACATENANGO;Acatenango
CHIMALTENANGO;ACATENANGO;Pajales I
CHIMALTENANGO;ACATENANGO;Pajales Ii
CHIMALTENANGO;ACATENANGO;San Antonio Nejapa
CHIMALTENANGO;CHIMALTENANGO;Agencia Caex Chimaltenango
CHIMALTENANGO;CHIMALTENANGO;Chimaltenango
CHIMALTENANGO;CHIMALTENANGO;Colonia Puerto Rico
CHIMALTENANGO;CHIMALTENANGO;La Alameda
CHIMALTENANGO;CHIMALTENANGO;Los Aposentos
CHIMALTENANGO;EL TEJAR;El Tejar
CHIMALTENANGO;PARRAMOS;Parramos
CHIMALTENANGO;Patzicia;El Caman
CHIMALTENANGO;Patzicia;Patzicia
CHIMALTENANGO;Patzun;Patzun
CHIMALTENANGO;POCHUTA;San Miguel Pochuta
CHIMALTENANGO;SAN ANDRES IZTAPA;San Andres Itzapa
CHIMALTENANGO;SAN ANDRES IZTAPA;San Andres Itzapa
CHIMALTENANGO;SAN JOSE POAQUIL;San Jose Poaquil
CHIMALTENANGO;SAN JUAN COMALAPA;San Juan Comalapa
CHIMALTENANGO;SAN MARTIN JILOTEPEQUE;Aldea Las Escobas
CHIMALTENANGO;SAN MARTIN JILOTEPEQUE;La Vega De Godinez
CHIMALTENANGO;SAN MARTIN JILOTEPEQUE;Las Escobas
CHIMALTENANGO;SAN MARTIN JILOTEPEQUE;San Martin Jilotepeque
CHIMALTENANGO;SAN PEDRO YEPOCAPA;San Pedro Yepocapa
CHIMALTENANGO;SAN PEDRO YEPOCAPA;San Pedro Yepocapa
CHIMALTENANGO;SANTA APOLONIA;Santa Apolonia
CHIMALTENANGO;SANTA CRUZ BALANYA;Aldea Chimazat
CHIMALTENANGO;SANTA CRUZ BALANYA;Santa Cruz Balanya
CHIMALTENANGO;TECPAN GUATEMALA;Aldea Chirijuyu
CHIMALTENANGO;TECPAN GUATEMALA;Tecpan
CHIMALTENANGO;ZARAGOZA;Aldea Rincon Chiquito
CHIMALTENANGO;ZARAGOZA;Aldea Rincon Grande
CHIMALTENANGO;ZARAGOZA;Zaragoza
CHIQUIMULA;CAMOTAN;Brasilar
CHIQUIMULA;CAMOTAN;Camotan
CHIQUIMULA;CAMOTAN;Caparja
CHIQUIMULA;CAMOTAN;El Florido
CHIQUIMULA;CAMOTAN;La Libertad
CHIQUIMULA;CAMOTAN;La Rebalsa
CHIQUIMULA;CAMOTAN;Pajco
CHIQUIMULA;CAMOTAN;Shupa
CHIQUIMULA;CHIQUIMULA;Agencia Caex Chiquimula
CHIQUIMULA;CHIQUIMULA;Banvi
CHIQUIMULA;CHIQUIMULA;Barrio El Jurgallon
CHIQUIMULA;CHIQUIMULA;El Ingeniero
CHIQUIMULA;CHIQUIMULA;El Maestro
CHIQUIMULA;CHIQUIMULA;El Molino
CHIQUIMULA;CHIQUIMULA;El Obraje
CHIQUIMULA;CHIQUIMULA;Jicaral
CHIQUIMULA;CHIQUIMULA;La Colina
CHIQUIMULA;CHIQUIMULA;La Laguna
CHIQUIMULA;CHIQUIMULA;Las Flores
CHIQUIMULA;CHIQUIMULA;Maraxcó
CHIQUIMULA;CHIQUIMULA;Petapilla
CHIQUIMULA;CHIQUIMULA;Planes De San Josè
CHIQUIMULA;CHIQUIMULA;Sabana Grande
CHIQUIMULA;CHIQUIMULA;San Esteban
CHIQUIMULA;CHIQUIMULA;San Jorge
CHIQUIMULA;CHIQUIMULA;Santa Elena
CHIQUIMULA;CHIQUIMULA;Shusho Abajo
CHIQUIMULA;CHIQUIMULA;Tierra Colorada
CHIQUIMULA;CHIQUIMULA;Vado Hondo
CHIQUIMULA;CHIQUIMULA;Zona 1
CHIQUIMULA;CHIQUIMULA;Zona 2
CHIQUIMULA;CHIQUIMULA;Zona 3
CHIQUIMULA;CHIQUIMULA;Zona 4
CHIQUIMULA;CHIQUIMULA;Zona 5
CHIQUIMULA;CHIQUIMULA;Zona 6
CHIQUIMULA;CHIQUIMULA;Zona 7
CHIQUIMULA;CONCEPCION LAS MINAS;Alambrados
CHIQUIMULA;CONCEPCION LAS MINAS;Aldea Apantes
CHIQUIMULA;CONCEPCION LAS MINAS;Anguiatu
CHIQUIMULA;CONCEPCION LAS MINAS;Conacaste
CHIQUIMULA;CONCEPCION LAS MINAS;Concepcion Las Minas
CHIQUIMULA;CONCEPCION LAS MINAS;Cruz Calle
CHIQUIMULA;CONCEPCION LAS MINAS;Dolores
CHIQUIMULA;CONCEPCION LAS MINAS;El Obraje
CHIQUIMULA;CONCEPCION LAS MINAS;El Rodeo
CHIQUIMULA;CONCEPCION LAS MINAS;Guacamayas
CHIQUIMULA;CONCEPCION LAS MINAS;La Ermita
CHIQUIMULA;CONCEPCION LAS MINAS;La Leona
CHIQUIMULA;CONCEPCION LAS MINAS;Los Limones
CHIQUIMULA;CONCEPCION LAS MINAS;Rodeito
CHIQUIMULA;CONCEPCION LAS MINAS;Rodeo El Espino
CHIQUIMULA;CONCEPCION LAS MINAS;San Antonio
CHIQUIMULA;ESQUIPULAS;Agencia Caex Esquipulas
CHIQUIMULA;ESQUIPULAS;Atulapa
CHIQUIMULA;ESQUIPULAS;Bueyeros
CHIQUIMULA;ESQUIPULAS;Cafetales
CHIQUIMULA;ESQUIPULAS;Chanmagua
CHIQUIMULA;ESQUIPULAS;El Rodeo
CHIQUIMULA;ESQUIPULAS;Frontera Agua Caliente
CHIQUIMULA;ESQUIPULAS;Olopita
CHIQUIMULA;ESQUIPULAS;Pinalito Jagua
CHIQUIMULA;ESQUIPULAS;Santa Rosalía
CHIQUIMULA;ESQUIPULAS;Tontoles
CHIQUIMULA;ESQUIPULAS;Zona 1
CHIQUIMULA;ESQUIPULAS;Zona 2
CHIQUIMULA;ESQUIPULAS;Zona 3
CHIQUIMULA;ESQUIPULAS;Zona 4
CHIQUIMULA;ESQUIPULAS;Zona 5
CHIQUIMULA;IPALA;Cececapa
CHIQUIMULA;IPALA;Dolores
CHIQUIMULA;IPALA;El Amatillo
CHIQUIMULA;IPALA;El Obraje
CHIQUIMULA;IPALA;El Sauce
CHIQUIMULA;IPALA;Ipala
CHIQUIMULA;IPALA;Jicamapa
CHIQUIMULA;IPALA;Posa De La Pila
CHIQUIMULA;IPALA;San Francisco
CHIQUIMULA;IPALA;San Isidro
CHIQUIMULA;IPALA;Zona 1
CHIQUIMULA;IPALA;Zona 2
CHIQUIMULA;IPALA;Zona 3
CHIQUIMULA;IPALA;Zona 4
CHIQUIMULA;JOCOTAN;El Florido
CHIQUIMULA;JOCOTAN;Jocotan
CHIQUIMULA;JOCOTAN;La Calavera
CHIQUIMULA;JOCOTAN;Las Crucitas Jocotan
CHIQUIMULA;JOCOTAN;Los Vados
CHIQUIMULA;OLOPA;Calera
CHIQUIMULA;OLOPA;El Chucte
CHIQUIMULA;OLOPA;Nochan
CHIQUIMULA;OLOPA;Olopa
CHIQUIMULA;OLOPA;Tituque
CHIQUIMULA;QUETZALTEPEQUE;Azacualpa
CHIQUIMULA;QUETZALTEPEQUE;El Recibimiento
CHIQUIMULA;QUETZALTEPEQUE;Encuentros Abajo
CHIQUIMULA;QUETZALTEPEQUE;Encuentros Arriba
CHIQUIMULA;QUETZALTEPEQUE;Guatalon
CHIQUIMULA;QUETZALTEPEQUE;Llano Grande
CHIQUIMULA;QUETZALTEPEQUE;Padre Miguel
CHIQUIMULA;QUETZALTEPEQUE;Piedras Azules
CHIQUIMULA;QUETZALTEPEQUE;Rio Grande
CHIQUIMULA;QUETZALTEPEQUE;Salfate
CHIQUIMULA;QUETZALTEPEQUE;Yocon
CHIQUIMULA;QUETZALTEPEQUE;Zona 1
CHIQUIMULA;QUETZALTEPEQUE;Zona 2
CHIQUIMULA;SAN JACINTO;Pastores
CHIQUIMULA;SAN JACINTO;San Jacinto
CHIQUIMULA;SAN JACINTO;San Jorge
CHIQUIMULA;SAN JACINTO;Tamarindo
CHIQUIMULA;SAN JACINTO;Ticanlú Abajo
CHIQUIMULA;SAN JOSE LA ARADA;Chororoguá
CHIQUIMULA;SAN JOSE LA ARADA;Chororogua
CHIQUIMULA;SAN JOSE LA ARADA;El Rincon
CHIQUIMULA;SAN JOSE LA ARADA;Los Cimientos
CHIQUIMULA;SAN JOSE LA ARADA;San Jose La Arada
CHIQUIMULA;SAN JOSE LA ARADA;Saspan
CHIQUIMULA;SAN JOSE LA ARADA;Tierra Colorada
CHIQUIMULA;SAN JOSE LA ARADA;Vega Arriba
CHIQUIMULA;SAN JUAN ERMITA;La Ceibita
CHIQUIMULA;SAN JUAN ERMITA;Las Veguitas
CHIQUIMULA;SAN JUAN ERMITA;Los Planes
CHIQUIMULA;SAN JUAN ERMITA;San Juan Ermita
CHIQUIMULA;SAN JUAN ERMITA;Ticanlu
EL PROGRESO;EL JICARO;El Jicaro
EL PROGRESO;EL JICARO;El Jute
EL PROGRESO;EL JICARO;Espiritu Santo
EL PROGRESO;EL JICARO;Las Anonas
EL PROGRESO;EL JICARO;Las Ovejas
EL PROGRESO;EL JICARO;Llano De Jesus
EL PROGRESO;EL JICARO;Lo De China
EL PROGRESO;EL JICARO;Los Bordos
EL PROGRESO;EL JICARO;Paso De Jalapas
EL PROGRESO;EL JICARO;San Antonio Aguas Calientes
EL PROGRESO;EL JICARO;Santa Cruz
EL PROGRESO;EL JICARO;Santa Lucia Los Ocotes
EL PROGRESO;EL JICARO;Santa Rosalía
EL PROGRESO;GUASTATOYA;Agencia Caex Guastatoya
EL PROGRESO;GUASTATOYA;Aldea Casas Viejas
EL PROGRESO;GUASTATOYA;Aldea El Callejon
EL PROGRESO;GUASTATOYA;Aldea El Subinal
EL PROGRESO;GUASTATOYA;Aldea Las Morales
EL PROGRESO;GUASTATOYA;Aldea Palo Amontonado
EL PROGRESO;GUASTATOYA;Aldea Piedra Parada
EL PROGRESO;GUASTATOYA;Aldea Santa Lucia
EL PROGRESO;GUASTATOYA;Aldea Santa Rita
EL PROGRESO;GUASTATOYA;El Naranjo
EL PROGRESO;GUASTATOYA;La Libertad
EL PROGRESO;GUASTATOYA;Tierra Blanca
EL PROGRESO;GUASTATOYA;Zona 1
EL PROGRESO;GUASTATOYA;Zona 2 - Guastatoya
EL PROGRESO;GUASTATOYA;Zona 3
EL PROGRESO;GUASTATOYA;Zona 4 Guastatoya
EL PROGRESO;GUASTATOYA;Zona 5
EL PROGRESO;GUASTATOYA;Zona 6
EL PROGRESO;MORAZAN;Agua Caliente
EL PROGRESO;MORAZAN;Aristondos
EL PROGRESO;MORAZAN;Buena Vista
EL PROGRESO;MORAZAN;Casas Viejas, Guastatoya 
EL PROGRESO;MORAZAN;El Carrizo
EL PROGRESO;MORAZAN;El Coyote
EL PROGRESO;MORAZAN;El Moral
EL PROGRESO;MORAZAN;El Zapote Morazán
EL PROGRESO;MORAZAN;Los Leones
EL PROGRESO;MORAZAN;Los Tablones
EL PROGRESO;MORAZAN;Marajuma
EL PROGRESO;MORAZAN;Morazan
EL PROGRESO;MORAZAN;Plan De Las Flores
EL PROGRESO;MORAZAN;San Diego
EL PROGRESO;MORAZAN;San Miguel Buena Vista Morazán
EL PROGRESO;MORAZAN;Santa Lucia
EL PROGRESO;San Agustin Acasaguastlan;El Rancho
EL PROGRESO;San Agustin Acasaguastlan;Las Champas El Rancho
EL PROGRESO;San Agustin Acasaguastlan;Pasasagua
EL PROGRESO;San Agustin Acasaguastlan;San Agustin Acasaguastlan
EL PROGRESO;San Agustin Acasaguastlan;Santa Gertrudis
EL PROGRESO;San Agustin Acasaguastlan;Tulumaje
EL PROGRESO;San Agustin Acasaguastlan;Tulumajillo
EL PROGRESO;SAN ANTONIO LA PAZ;Agua Caliente
EL PROGRESO;SAN ANTONIO LA PAZ;Cucajol
EL PROGRESO;SAN ANTONIO LA PAZ;Dolores
EL PROGRESO;SAN ANTONIO LA PAZ;El Chile
EL PROGRESO;SAN ANTONIO LA PAZ;El Chorro
EL PROGRESO;SAN ANTONIO LA PAZ;El Hato
EL PROGRESO;SAN ANTONIO LA PAZ;Llano Largo
EL PROGRESO;SAN ANTONIO LA PAZ;Los Planes
EL PROGRESO;SAN ANTONIO LA PAZ;San Antonio La Paz
EL PROGRESO;SAN ANTONIO LA PAZ;Sansare
EL PROGRESO;SAN ANTONIO LA PAZ;Santo Domingo Los Ocotes
EL PROGRESO;San Cristobal Acasaguastlan;La Estancia De La Virgen
EL PROGRESO;San Cristobal Acasaguastlan;Manzanal
EL PROGRESO;San Cristobal Acasaguastlan;San Cristobal Acasaguastlan
